SECTION_CODE,SECTION_NAME,CHAPTER_CODE,CHAPTER_NAME,GROUP_CODE,GROUP_NAME,CLASS_CODE,CLASS_NAME,EDRPOU_CODE,"Повне найменування юридичної особи
(cтаном на 06.10.2025)",Скорочена назва,"Статус юридичної особи 
(cтаном на 06.10.2025)",Статус з ЄДР,Код ЄДРПОУ,Дата реєстрації,"Дата та номер запису про державну реєстрацію припинення юридичної особи, підстава для його внесення",Уповноважені особи,Розмір статутного капіталу,Організаційно-правова форма,Види діяльності,Контактна інформація,Назва англійською,Дані про перебування юридичної особи в процесі припинення,"Дані про перебування юридичної особи в процесі провадження у справі про банкрутство, санації"
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,00846518,ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО НАДІЯ,"ВАТ ""НАДІЯ""",Припинено,Припинено,00846518,23.04.1999 (26 років 5 місяців),Дата запису: 20.02.2006 Номер запису: 1 371 117 0002 000102 Стан суб'єкта: припинено,ЗАМУЛА ВІКТОР ВАСИЛЬОВИЧ підписант (НЕМАЄ) ЗАМУЛА ВІКТОР ВАСИЛЬОВИЧ керівник,"796 837,00 грн.",ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників (основний) Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП","Місцезнаходження юридичної особи: 93541, , С.БАХМУТІВКА, НОВОАЙДАРСЬКИЙ, ЛУГАНСЬКА, УКРАЇНА Телефон: 91340 Дата оновлення 26.03.2020 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,00857315,КОЛЕКТИВНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВОПРОМІНЬ,"КСП""ПРОМІНЬ""",Припинено,Припинено,00857315,23.06.1995 (30 років 3 місяці),Дата запису: 18.03.2010 Номер запису: 1 375 117 0009 000248 Стан суб'єкта: припинено,СКОРОХОД ОЛЕГ ІВАНОВИЧ підписант ОГУЛЛО СЕРГІЙ ОЛЕКСАНДРОВИЧ керівник АГЕЄВА ВЕРОНІКА ВАЛЕРІЇВНА голова комісії з припинення або ліквідатор,"0,00 грн.",ІНШІ ОРГАНІЗАЦІЙНО-ПРАВОВІ ФОРМИ,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників (основний) Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 51.31.0 Оптова торгівля фруктами та овочами 51.70.0 Інші види оптової торгівлі 60.24.1 Діяльність автомобільного вантажного транспорту","Місцезнаходження юридичної особи: 93701, Луганська обл., Слов'яносербський район, селище міського типу Слов'яносербськ, ПРОВУЛОК ЦЕНТРАЛЬНИЙ, будинок **, корпус ** Телефон: 93594 Дата оновлення 11.11.2018 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,20105244,ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ЛИХИЙ І СИН,"ФГ "" ЛИХИЙ І СИН """,Зареєстровано,Зареєстровано,20105244,24.03.1993 (32 роки 6 місяців),,"ЛИХИЙ ОЛЕКСАНДР МИКОЛАЙОВИЧ керівник ЛИХИЙ ОЛЕКСАНДР МИКОЛАЙОВИЧ підписант (Вчиняти дії від імені юридичної особи, у тому числі підписувати договори тощо (НЕ МАЄ))","1 000,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 51.22.0 Оптова торгівля квітами та іншими рослинами 52.62.1 Роздрібна торгівля з лотків","Місцезнаходження юридичної особи: Україна, **1, Вінницька обл., Жмеринський р-н, село Тарасівка, ВУЛИЦЯ ПІВДЕННА",FERMERSKOE KNOZYASTVO LYHYI AND SON (FK LYHYI AND SON),,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,22453742,НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО МЕД-ПРО,"ПП ""НВП ""МЕД-ПРО""",Припинено,Припинено,22453742,17.06.1998 (27 років 3 місяці),Дата запису: 20.10.2004 Номер запису: 1 556 111 0002 000619 Стан суб'єкта: припинено,КОЖУХАР ВОЛОДИМИР ВОЛОДИМИРОВИЧ підписант КОЖУХАР ВОЛОДИМИР ВОЛОДИМИРОВИЧ керівник КОЖУХАР ВОЛОДИМИР ВОЛОДИМИРОВИЧ голова комісії з припинення або ліквідатор,"300,00 грн.",ПРИВАТНЕ ПІДПРИЄМСТВО,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників (основний) Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 01.11 Вирощування зернових та технічних культур 15.32.0 Виробництво фруктових та овочевих соків 15.33.2 Виробництво плодоовочевих консервів (крім картоплі), включаючи м'ясо-рослинні та сало-бобові 73.1 Дослідження і розробки в галузі природничих та технічних наук Всі Види Діяльності Приховати","Місцезнаходження юридичної особи: 65039, ПРОСП. ГАГАРІНА, БУД.**, КОРП.**, КВ.**, М.ОДЕСА, ПРИМОРСЬКИЙ РАЙОН, ОДЕСЬКА ОБЛАСТЬ, УКРАЇНА",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,32600704,ОВОЧЕВЕ,"ПП ""ОВОЧЕВЕ""",Припинено,Припинено,32600704,10.09.2003 (22 роки),Дата запису: 30.03.2005 Номер запису: 1 496 111 0002 000091 Стан суб'єкта: припинено,СЛАСТЬОН ВЛАДИСЛАВ ЮРІЙОВИЧ підписант СЛАСТЬОН ВЛАДИСЛАВ ЮРІЙОВИЧ керівник СЛАСТЬОН ВЛАДИСЛАВ ЮРІЙОВИЧ голова комісії з припинення або ліквідатор,"0,00 грн.",ПРИВАТНЕ ПІДПРИЄМСТВО,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників (основний) Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 52.11 Роздрібна торгівля в неспеціалізованих магазинах з перевагою продовольчого асортименту 01.11 Вирощування зернових та технічних культур 01.30 Змішане сільське господарство 01.41 Надання послуг у рослинництві; облаштування ландшафту 51.70 Інші види оптової торгівлі Всі Види Діяльності Приховати","Місцезнаходження юридичної особи: 75731, ВУЛ.ЛЕНІНА, БУД.**, С.УЛЯНІВКА, СКАДОВСЬКИЙ РАЙОН, ХЕРСОНСЬКА ОБЛАСТЬ, УКРАЇНА",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,24852618,ПРИВАТНЕ ПІДПРИЄМСТВО КОРНЕР,"ПП ""КОРНЕР""",Припинено,Припинено,24852618,14.10.1997 (27 років 11 місяців),Дата запису: 10.04.2012 Номер запису: 1 382 139 0004 006651 Стан суб'єкта: припинено,ВИПРЯЖКІН ПАВЛО АСТАХОВИЧ підписант ВИПРЯЖКІН ПАВЛО АСТАХОВИЧ керівник ВИПРЯЖКІН ПАВЛО АСТАХОВИЧ голова комісії з припинення або ліквідатор,"100,00 грн.",ПРИВАТНЕ ПІДПРИЄМСТВО,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників (основний) Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 22.33.1 Тиражування записів програмного забезпечення комп'ютерів 51.19 Посередництво в торгівлі товарами широкого асортименту 51.7 Інші види оптової торгівлі 52.62.1 Роздрібна торгівля з лотків Всі Види Діяльності Приховати","Місцезнаходження юридичної особи: 91031, Луганська обл., місто Луганськ, МІСТЕЧКО ЩОРСА, будинок **, квартира ** Телефон: 80504260535 Дата оновлення 02.04.2020 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,22782635,ПРИВАТНЕ ПІДПРИЄМСТВО КАТЕГОРІЯ,,Припинено,Припинено,22782635,30.10.1995 (29 років 11 місяців),Дата запису: 03.07.2014 Номер запису: 1 673 172 0004 010990 Стан суб'єкта: припинено,НЕВІДОМИЙ Н керівник,"0,00 грн.",ПРИВАТНЕ ПІДПРИЄМСТВО,Основний: 01.12 Вирощування рису (основний) Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП,"Місцезнаходження юридичної особи: 29025, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ АКАДЕМІКА КУРЧАТОВА, будинок **, квартира **",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,22783020,КОЛЕКТИВНЕ ПІДПРИЄМСТВО ДОБРОСЛАВ,,В стані припинення,В стані припинення,22783020,06.12.1995 (29 років 10 місяців),,НЕВІДОМИЙ Н керівник,"0,00 грн.",КОЛЕКТИВНЕ ПІДПРИЄМСТВО,Основний: 01.12 Вирощування рису Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП,"Місцезнаходження юридичної особи: Україна, **0, Хмельницька обл., місто Хмельницький, ПЛОЩА НЕЗАЛЕЖНОСТІ, будинок **",,"18.03.2014 - в стані припинення 16731130002011368 Внесення СР щодо припинення ЮО, що не пов'язано з її банкрутством",
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,34311728,ФЕРМЕРСЬКЕ ГОСПОДАРСТВО КАП,"ФГ ""КАП""",Зареєстровано,Зареєстровано,34311728,30.03.2006 (19 років 6 місяців),,КУШНІР АНДРІЙ ПАВЛОВИЧ керівник КУШНІР АНДРІЙ ПАВЛОВИЧ підписант,"0,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 51.31 Оптова торгівля фруктами та овочами 52.21 Роздрібна торгівля фруктами та овочами, включаючи картоплю","Місцезнаходження юридичної особи: Україна, **5, , С. ПИКУЛОВИЧІ, ПУСТОМИТІВСЬКИЙ РАЙОН, ЛЬВІВСЬКА ОБЛАСТЬ Телефон: 80677591319 Дата оновлення 14.06.2021 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,
A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",01,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",01.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,01.12,Вирощування рису,31326160,ПРИВАТНЕ ПІДПРИЄМСТВО НАУКОВО-ВПРОВАДЖУВАЛЬНА ФІРМА ЕКОМ,"ПП ""НВФ ""ЕКОМ""",Припинено,Припинено,31326160,07.02.2001 (24 роки 8 місяців),Дата запису: 26.03.2010 Номер запису: 1 382 117 0006 006105 Стан суб'єкта: припинено,"КРИВОШЕЄВ ВАЛЕРІЙ КОСТЯНТИНОВИЧ підписант (ПРИЙНЯТТЯ РІШЕНЬ ПРО УКЛАДАННЯ УГОД, ДОГОВОРІВ НА СУМУ, ЩО ЕКВІВАЛЕНТНА 10000 ДОЛАРІВ США АБО БІЛЬШЕ) КРИВОШЕЄВ ВАЛЕРІЙ КОСТЯНТИНОВИЧ керівник ЯРМИШ ІННА СЕРГІЇВНА голова комісії з припинення або ліквідатор","100,00 грн.",ПРИВАТНЕ ПІДПРИЄМСТВО,"Основний: 01.12 Овочівництво, декоративне садівництво та вирощування продукції розсадників (основний) Всього за цим КВЕД: 92 За цим видом діяльності в Україні діючих: 60 – юридичних осіб 32 – ФОП Інші: 52.12 Роздрібна торгівля в неспеціалізованих магазинах без переваги продовольчого асортименту 45.21.1 Будівництво будівель 45.34.2 Інші електромонтажні роботи 51.53.2 Оптова торгівля будівельними матеріалами 51.7 Інші види оптової торгівлі Всі Види Діяльності Приховати","Місцезнаходження юридичної особи: 91057, Луганська обл., місто Луганськ, КВАРТАЛ КОМАРОВА, будинок ** А, квартира ** Телефон: 80642617301 Дата оновлення 19.09.2019 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,
